ITEM_ID,EDP_CODE,DESCRIPTION,PROD_SUB_TYPE_CODE,PROD_TYPE_CODE,PROD_LINE_CODE,PROD_SUB_TYPE_DESC,PROD_TYPE_DESC,PROD_LINE_DESC
103,NUK2345Z,2344Z MITA COPIER,BW_04,4111101,110,B&W COPIER 60-89 CPM,MACHINE,ANALOGUE COPIER
105,NUK885313,LANIER PLEASE USE CT116BLK,3000,4111401,120,TONER,SUPPLY,B/W MFP
110,NUKB0474114,SEE B0471114,4099,4111501,120,OTHER PART,PART,B/W MFP
111,NUKB390148,"C7780C HP DESIGNJET 800PSEN 96MB 42""",BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
113,NUK127067,127067 4 / 5 PORT SWITCH,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
114,NUK4800039,DEV 5455/5470 REFER TO A2929640,3000,4111401,120,TONER,SUPPLY,B/W MFP
116,NUK72620200,*SEE BOX 204*HEAT ROLLER 2115/2217,4099,4111501,120,OTHER PART,PART,B/W MFP
120,NUKAC1035,DWP AFICIO 1035 AC1035,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
122,NUKB390170,C4952A HP 81 MAGENTA CLNR PRINTHEAD,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
123,NUK930495,RP3700 CRIMSON RISO INK,3006,4111401,410,INK,SUPPLY,DIGITAL DUPLICATOR
124,NUK5625,LANIER 5625 COLOUR COP CCR061,CL_61,4111101,140,COLOR COPIER 1-19 CPM,MACHINE,COLOUR MFP
1002,NUK6625,LANIER 6625 COPIER TOSHIBA 2540,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1005,NUKGX3050,PLEASE USE GX3050N,4099,4111501,120,OTHER PART,PART,B/W MFP
1007,NUKBRRRHVFR,REX ROTARY GBC STEAMPUNCH PK25,4099,4111501,120,OTHER PART,PART,B/W MFP
1011,NUK289914,289914 EXTRA WORKSTATION LIC SUPPORT,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1012,NUKBS2ST2GRN,"S2 2"" GREEN VELOBIND STRIPS 51x297",4099,4111501,120,OTHER PART,PART,B/W MFP
1013,NUK284310,TETRIS CASH MANAGER MAX 6 PAYCONS,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1016,NIE02077,"8.6"" X 4.25 MANILLA ENV ( 500)",4099,4111501,120,OTHER PART,PART,B/W MFP
1019,NUKCMRA07,CMRA07 A0 57A0 COPIER 230V *EXPORT,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1023,NUKCOL14,14 STATION COLLATOR A3 **EXPORT,OTHER,4111101,110,OTHER MACHINE,MACHINE,ANALOGUE COPIER
1024,NUKCL001E1050001,PLANET PRESS CARE PRINT LIC 1-50PPM,4099,4111501,120,OTHER PART,PART,B/W MFP
1025,NUKCMR080A,CMR080A 2808 COPIER *EXPORT ONLY,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
