PRODUCT_KEY,PRODUCT_NUMBER,EDP_CODE,DESCRIPTION,SUBTYPE_CODE,SUBTYPE_DESC,TYPE_CODE,TYPE_DESC,LINE_CODE,LINE_DESC,ACTIVE_FLAG,EFF_FM_DT,EFF_TO_DT
0,0,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,DUMMY,Y,29-05-2019,31-12-9999
1,103,NUK2345Z,2344Z MITA COPIER,BW_04,B&W COPIER 60-89 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
2,105,NUK885313,LANIER PLEASE USE CT116BLK,3000,TONER,4111401,SUPPLY,120,B/W MFP,Y,29-05-2019,31-12-9999
3,110,NUKB0474114,SEE B0471114,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
4,113,NUK127067,127067 4 / 5 PORT SWITCH,3099,OTHER SUPPLY,4111401,SUPPLY,120,B/W MFP,Y,29-05-2019,31-12-9999
5,120,NUKAC1035,DWP AFICIO 1035 AC1035,BW_02,B&W COPIER 20-39 CPM,4111101,MACHINE,120,B/W MFP,Y,29-05-2019,31-12-9999
6,122,NUKB390170,C4952A HP 81 MAGENTA CLNR PRINTHEAD,3099,OTHER SUPPLY,4111401,SUPPLY,210,B/W PRINTER,Y,29-05-2019,31-12-9999
7,123,NUK930495,RP3700 CRIMSON RISO INK,3006,INK,4111401,SUPPLY,410,DIGITAL DUPLICATOR,Y,29-05-2019,31-12-9999
8,1005,NUKGX3050,PLEASE USE GX3050N,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
9,1007,NUKBRRRHVFR,REX ROTARY GBC STEAMPUNCH PK25,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
10,1011,NUK289914,289914 EXTRA WORKSTATION LIC SUPPORT,3099,OTHER SUPPLY,4111401,SUPPLY,120,B/W MFP,Y,29-05-2019,31-12-9999
11,1012,NUKBS2ST2GRN,S2 2 GREEN VELOBIND STRIPS 51x297,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
12,1025,NUKCMR080A,CMR080A 2808 COPIER *EXPORT ONLY,BW_01,B&W COPIER 1-19 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
13,1027,NUK423C,XEROX 423C COPIER,BW_01,B&W COPIER 1-19 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
14,1029,NUKCK-72,CAR KIT - MPC2500/3000 MPC3500/4500,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
15,1030,NUKCLC350,CANON CLC350 COLOUR COPIER,BW_01,B&W COPIER 1-19 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
16,1031,NUKNEFAX 2,# NEC NEFAX 2 THERMAL FAX MACHINE,FP_TO,FAX PLAIN PAPER TONER PRINTING,4111101,MACHINE,510,FACSIMILE,Y,29-05-2019,31-12-9999
17,1035,NIEBX420010,BANTEX HEAVY DUTY CLIP BOARD,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
18,1036,NIE3M93873,SCOTCH TAPE CLEAR 25M X 66M PKT 6,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
19,1038,NIE400262,PKT (200) A/4 FR-BLUE BOARDS,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
20,1046,NUKCLC900,CANON CLC900 COLOUR COPIER,BW_01,B&W COPIER 1-19 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
21,1047,NUKCMRA08A,CMRA08A NASH 581AO AO COPIER *EXPORT,BW_01,B&W COPIER 1-19 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
22,1049,NUKDEST OCR,DEST OCR IMAGE SCANNER,4099,OTHER PART,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
23,1050,NUKM4115,4115 COPIER,BW_01,B&W COPIER 1-19 CPM,4111101,MACHINE,110,ANALOGUE COPIER,Y,29-05-2019,31-12-9999
